,text_id,token,ageism,aporophobia,body_shame,capacitism,lgbtphobia,political,racism,religious_intolerance,misogyny,xenophobia,other,not_hate
0,4274,@USER,-0.1569069,-0.19829288,-0.1797699,-0.42004025,-0.58550286,-0.16460598,-0.2836768,-0.09230622,-0.7798609,-0.17391759,-0.19786915,0.16419554
1,4274,@USER,-0.080136426,-0.003257282,-0.14118132,-0.14018491,-0.08325162,0.00750307,-0.07817299,0.051666617,-0.2602308,0.13032143,0.14004426,-0.18563247
2,4274,▁kkkkkkkkk,0.41020876,0.19520974,-0.23287417,0.011409815,-0.32224613,0.16507486,0.15952389,0.27924216,-0.794881,0.23114292,0.10786405,-0.36953193
3,4274,▁toma,0.26855195,0.46556917,-0.34518468,0.10171648,0.017292228,0.60851884,0.28973556,0.83788896,-0.94552344,1.1697242,0.5732829,-1.4003179
4,4274,▁vergonha,0.27344617,0.29221442,-0.10126499,-0.04173516,0.07902129,0.07307583,0.41998535,0.22086808,0.016002178,0.25256464,0.5875758,-0.31460375
5,4274,▁cara,0.17887792,0.3874411,0.10865359,0.0403158,-0.03456959,0.36193463,0.46121237,0.15442753,-0.17176461,0.45733392,0.3672788,-0.38919294
6,4274,▁seu,-0.6751994,-0.21961585,-0.23313102,-0.50568193,-0.42684865,-0.12181546,-0.5002108,-0.18394151,-0.5316646,-0.14328301,0.2393563,0.19107981
7,4274,▁velho,1.243614,0.7519106,0.10225852,0.027749985,-0.62759376,0.1103991,0.84109735,0.6843043,-1.1996993,0.8690696,0.5461244,-0.505902
8,4274,▁vagabundo,0.054232687,0.5209048,0.07107013,-0.3648086,-0.041407213,0.0018007755,0.1865049,0.406591,-0.21160291,0.519797,1.8339027,-1.0649413
9,802,▁ESSA,-0.13907677,0.04540556,-0.4225119,-0.0695775,-0.118275456,0.10429688,0.12724313,0.3320651,-0.92380047,0.24174525,-1.5843703,1.0736717
10,802,▁,0.03447087,0.053242255,0.056956038,-0.0237161,-0.068426505,-0.06765002,0.02892224,-0.024629924,-0.069497645,0.004544223,0.47051185,0.05386342
11,802,GER,0.06598598,0.100609146,0.035017587,0.04904647,0.10063189,-0.11759303,0.097935095,0.062975794,-0.18356755,0.039447177,0.30568695,0.29162598
12,802,AÇÃO,0.0668375,0.034834437,0.27812815,-0.05917547,-0.0003440529,-0.19336909,-0.02106798,-0.20555665,0.2751069,-0.06705396,1.8875649,-0.6411684
